981,"Disability Research Institute"
583,"Statistics"
475,"Med at UC Clinical Sci Adm"
764,"Ctr Democ in a Multiracial Soc"
378,"Tech for Health & Independence"
602,"Engineering General Expen"
220,"Materials Research Lab"
963,"Community Health"
371,"Center for Teaching Excellence"
679,"Speech & Hearing Science"
560,"Center for Children's Books"
343,"Bioengineering"
